question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_pct,valid_n,question_total_n
QID2,Q1.5,Select your duty location:,MC,,Q1.5,nominal,1,Schofield Barracks,42,41.58,101,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5,nominal,2,Fort Bragg,34,33.66,101,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5,nominal,3,Other:,25,24.75,101,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,Atque a? Metus volutpat amet augue a. Lorem? Nunc vehicula eleifend turpis! Ullamcorper porta temporibus.,Atque a? Metus volutpat amet augue a. Lorem? Nunc vehicula eleifend turpis! Ullamcorper porta temporibus.,1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,Blandit suscipit tellus dolorem enim. Pellentesque non! Sed. Ut! Blandit sem ac.,Blandit suscipit tellus dolorem enim. Pellentesque non! Sed. Ut! Blandit sem ac.,1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,Consequat. Montes lorem posuere orci auctor tortor? Temporibus gravida placerat mi lacus faucibus bibendum.,Consequat. Montes lorem posuere orci auctor tortor? Temporibus gravida placerat mi lacus faucibus bibendum.,1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,"Donec ac, integer temporibus lacus nonummy iaculis? Convallis in elit fusce. Venenatis dui! Sodales? Neque.","Donec ac, integer temporibus lacus nonummy iaculis? Convallis in elit fusce. Venenatis dui! Sodales? Neque.",1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,Fermentum erat nunc ante est primis est lectus at nonummy integer nunc.,Fermentum erat nunc ante est primis est lectus at nonummy integer nunc.,1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,"Gravida platea. Facilisi gravida quam aenean, pellentesque ullamcorper at atque risus malesuada? Malesuada. Enim fusce.","Gravida platea. Facilisi gravida quam aenean, pellentesque ullamcorper at atque risus malesuada? Malesuada. Enim fusce.",1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,"In. Fusce? Accusamus quis vulputate ut diam cras, pharetra atque, ac a augue at.","In. Fusce? Accusamus quis vulputate ut diam cras, pharetra atque, ac a augue at.",1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,"Lacus sem? Ultricies dignissim consequat magnis vitae pellentesque dolor, molestie dui sed.","Lacus sem? Ultricies dignissim consequat magnis vitae pellentesque dolor, molestie dui sed.",1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,Laoreet tellus vestibulum eros gravida metus vitae pretium laoreet gravida accumsan? Odio fermentum.,Laoreet tellus vestibulum eros gravida metus vitae pretium laoreet gravida accumsan? Odio fermentum.,1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,"Nibh lorem mauris nibh scelerisque nulla, sapien diam! Nullam fermentum cursus donec turpis pellentesque.","Nibh lorem mauris nibh scelerisque nulla, sapien diam! Nullam fermentum cursus donec turpis pellentesque.",1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,"Nullam temporibus ipsum quis, urna suscipit velit integer sagittis sodales! Luctus sit.","Nullam temporibus ipsum quis, urna suscipit velit integer sagittis sodales! Luctus sit.",1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,Orci odio risus. Ut. Fusce proin pretium? Porttitor proin rhoncus.,Orci odio risus. Ut. Fusce proin pretium? Porttitor proin rhoncus.,1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,"Pharetra etiam pede mi, nullam? Euismod in suscipit duis nonummy dignissim.","Pharetra etiam pede mi, nullam? Euismod in suscipit duis nonummy dignissim.",1,4.0,25,101
QID2,Q1.5,Select your duty location:,MC,,Q1.5_3_TEXT,nominal,Porttitor auctor risus praesent faucibus donec blandit primis ipsum per lectus dolor nibh ultricies tempor.,Porttitor auctor risus praesent faucibus donec blandit primis ipsum per lectus dolor nibh ultricies tempor.,1,4.0,25,101
