question_key,question_id,question_text,question_type,attribute,column,scale_type,response_code,response_label,n,valid_pct,valid_n,question_total_n
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,14,14 years,5,4.95,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,47,47 years,5,4.95,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,49,49 years,5,4.95,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,51,50 years,5,4.95,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,2,2 years,4,3.96,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,35,35 years,4,3.96,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,6,6 years,4,3.96,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,0,Less than one year,3,2.97,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,11,11 years,3,2.97,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,16,16 years,3,2.97,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,25,25 years,3,2.97,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,27,27 years,3,2.97,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,29,29 years,3,2.97,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,32,32 years,3,2.97,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,38,38 years,3,2.97,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,39,39 years,3,2.97,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,4,43 years,3,2.97,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,45,45 years,3,2.97,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,46,46 years,3,2.97,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,1,1 year,2,1.98,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,12,12 years,2,1.98,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,13,13 years,2,1.98,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,17,17 years,2,1.98,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,33,33 years,2,1.98,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,40,40 years,2,1.98,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,10,10 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,15,15 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,19,19 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,20,20 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,21,21 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,22,22 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,23,23 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,24,24 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,26,26 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,28,28 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,3,3 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,30,30 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,31,31 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,36,36 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,37,37 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,41,41 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,44,44 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,48,48 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,7,7 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,8,8 years,1,0.99,101,101
QID19730740,Q2.8,"How long have you served in the military?<div><i>Select the total number of years, or select ""Less than one year"".</i></div>",MC,,Q2.8,nominal,9,9 years,1,0.99,101,101
